case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p0,1,1,2,0,1,1,1047,49,4900,224,98,105,96,335,0,0,1,21,21,6,110,0,147,49,490,147,49,0,6,1
train0_p0,1,1,2,1,1,1,1291,49,4900,224,98,105,96,335,68,5,1,30,57,6,130,0,321,49,490,147,49,0,11,1
train0_p0,1,1,3,0,1,1,1046,49,4900,219,98,100,92,333,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p0,1,1,3,1,1,1,1271,49,4900,219,98,100,92,333,72,0,1,27,54,6,125,0,317,49,490,147,49,0,6,1
train0_p1,1,1,2,0,1,1,1046,49,4900,216,98,97,90,341,0,0,1,21,21,6,109,0,147,49,490,147,49,0,6,1
train0_p1,1,1,2,1,1,1,1271,49,4900,216,98,97,90,341,75,4,1,30,57,6,124,0,308,49,490,147,49,0,10,1
train0_p1,1,1,3,0,1,1,1045,49,4900,214,98,95,89,341,0,0,1,21,21,6,108,0,147,49,490,147,49,0,6,1
train0_p1,1,1,3,1,1,1,1269,49,4900,214,98,95,89,341,70,5,1,27,54,6,121,0,314,49,490,147,49,0,11,1
train0_p2,1,1,2,0,1,1,1025,48,4800,212,96,95,88,338,0,0,1,21,21,6,106,0,144,48,480,144,48,0,6,1
train0_p2,1,1,2,1,1,1,1247,48,4800,212,96,95,88,338,59,6,1,30,57,6,121,0,300,48,480,144,48,0,12,1
train0_p2,1,1,3,0,1,1,1024,48,4800,209,96,92,86,339,0,0,1,21,21,6,105,0,144,48,480,144,48,0,6,1
train0_p2,1,1,3,1,1,1,1231,48,4800,209,96,92,86,339,66,1,1,27,54,6,115,0,301,48,480,144,48,0,7,1
train0_p3,1,1,2,0,1,1,1048,49,4900,223,98,104,96,346,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,2,1,1,1,1271,49,4900,223,98,104,96,346,78,2,1,30,57,6,126,0,308,49,490,147,49,0,8,1
train0_p3,1,1,3,0,1,1,1048,49,4900,222,98,103,95,345,0,0,1,21,21,6,111,0,147,49,490,147,49,0,6,1
train0_p3,1,1,3,1,1,1,1269,49,4900,222,98,103,95,345,74,4,1,27,54,6,127,0,309,49,490,147,49,0,10,1
train0_p4,1,1,2,0,1,1,1066,50,5000,224,100,103,96,340,0,0,1,21,21,6,111,0,150,50,500,150,50,0,6,1
train0_p4,1,1,2,1,1,1,1294,50,5000,224,100,103,96,340,80,4,1,30,57,6,126,0,314,50,500,150,50,0,10,1
train0_p4,1,1,3,0,1,1,1065,50,5000,222,100,101,95,340,0,0,1,21,21,6,110,0,150,50,500,150,50,0,6,1
train0_p4,1,1,3,1,1,1,1291,50,5000,222,100,101,95,340,71,5,1,27,54,6,123,0,319,50,500,150,50,0,11,1
train0_p5,1,1,2,0,1,1,1027,48,4800,221,96,104,96,341,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,2,1,1,1,1247,48,4800,221,96,104,96,341,61,4,1,30,57,6,124,0,299,48,480,144,48,0,10,1
train0_p5,1,1,3,0,1,1,1027,48,4800,219,96,102,94,338,0,0,1,21,21,6,108,0,144,48,480,144,48,0,6,1
train0_p5,1,1,3,1,1,1,1239,48,4800,219,96,102,94,338,57,0,1,27,54,6,122,0,303,48,480,144,48,0,6,1
train0_p6,1,1,2,0,1,1,1026,48,4800,213,96,96,88,345,0,0,1,21,21,6,107,0,144,48,480,144,48,0,6,1
