case,real,order,mode,bp,packed32,prefetch,cycles,channels,scalar_mac,words,xwords,graph_words,prefetch_words,graph_hits,req_stall,out_stall,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13
train0_p0,1,0,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
train0_p0,1,0,0,0,1,1,1871,96,9600,221,192,0,180,0,0,0,1,29,29,6,0,102,198,96,960,288,96,60,6,1
train0_p0,1,0,0,1,1,0,2351,96,9600,221,192,0,0,0,72,1,1,38,76,6,0,102,621,96,960,288,96,60,7,1
train0_p0,1,0,0,1,1,1,1952,96,9600,221,192,0,180,0,44,5,1,38,76,6,0,102,218,96,960,288,96,60,11,1
train0_p0,1,0,1,0,1,0,1355,64,6400,158,128,0,0,0,0,0,1,30,30,6,0,70,192,64,640,192,64,60,6,1
train0_p0,1,0,1,0,1,1,1297,64,6400,158,128,0,116,0,0,0,1,30,30,6,0,70,134,64,640,192,64,60,6,1
train0_p0,1,0,1,1,1,0,1621,64,6400,158,128,0,0,0,55,4,1,39,77,6,0,70,398,64,640,192,64,60,10,1
train0_p0,1,0,1,1,1,1,1379,64,6400,158,128,0,116,0,86,3,1,39,77,6,0,70,157,64,640,192,64,60,9,1
train0_p0,1,0,2,0,0,0,1281,58,5800,231,116,94,0,7,0,0,1,21,21,6,182,0,174,58,580,174,58,0,6,1
train0_p0,1,0,2,0,1,0,1275,58,5800,215,116,78,0,59,0,0,1,21,21,6,176,0,174,58,580,174,58,0,6,1
train0_p0,1,0,2,0,1,1,1230,58,5800,257,116,120,109,406,0,0,1,21,21,6,131,0,174,58,580,174,58,0,6,1
train0_p0,1,0,2,1,0,0,1722,58,5800,231,116,94,0,7,91,2,1,30,57,6,361,0,389,58,580,174,58,0,8,1
train0_p0,1,0,2,1,1,0,1639,58,5800,215,116,78,0,59,72,1,1,30,57,6,299,0,369,58,580,174,58,0,7,1
train0_p0,1,0,2,1,1,1,1472,58,5800,257,116,120,109,406,82,0,1,30,57,6,146,0,356,58,580,174,58,0,6,1
train0_p0,1,0,3,0,0,0,1279,58,5800,232,116,95,0,5,0,0,1,21,21,6,180,0,174,58,580,174,58,0,6,1
train0_p0,1,0,3,0,1,0,1279,58,5800,211,116,74,0,49,0,0,1,21,21,6,180,0,174,58,580,174,58,0,6,1
train0_p0,1,0,3,0,1,1,1229,58,5800,251,116,114,105,421,0,0,1,21,21,6,130,0,174,58,580,174,58,0,6,1
train0_p0,1,0,3,1,0,0,1676,58,5800,232,116,95,0,5,88,8,1,27,54,6,336,0,368,58,580,174,58,0,14,1
train0_p0,1,0,3,1,1,0,1669,58,5800,211,116,74,0,49,73,4,1,27,54,6,327,0,374,58,580,174,58,0,10,1
train0_p0,1,0,3,1,1,1,1489,58,5800,251,116,114,105,421,89,6,1,27,54,6,151,0,368,58,580,174,58,0,12,1
train0_p0,1,1,0,0,1,0,1961,96,9600,221,192,0,0,0,0,0,1,29,29,6,0,102,288,96,960,288,96,60,6,1
